Date	T	H	WS	WD	NS	EW		
2.kol.99	21,8	88	1,7	284	-0,970295726275996	0,241921895599667		427
3.kol.99	23,6	78	0,6	244	-0,898794046299167	-0,438371146789078		428,8
4.kol.99	20,3	91	1,1	269	-0,999847695156391	-0,017452406437284		432,1
5.kol.99	23,5	76	0,8	284	-0,970295726275996	0,241921895599667		435,3
6.kol.99	20,8	93	2,1	230	-0,766044443118978	-0,642787609686539		438
7.kol.99	18,3	97	1,5	203	-0,390731128489274	-0,92050485345244		440,5
8.kol.99	19,2	100	2	241	-0,874619707139396	-0,484809620246337		441,4
9.kol.99	20,9	94	0,8	171	0,156434465040231	-0,987688340595138		443,1
10.kol.99	21,3	88	1,2	95	0,996194698091746	-0,087155742747658		443,5
11.kol.99	20,9	92	0,7	263	-0,992546151641322	-0,121869343405147		443,9
12.kol.99	22,6	82	1	268	-0,999390827019096	-0,034899496702502		445,6
13.kol.99	24,1	74	2,4	261	-0,987688340595138	-0,156434465040231		447,1
14.kol.99	24,9	78	1,6	271	-0,999847695156391	0,017452406437283		447,9
15.kol.99	21,1	98	1,9	302	-0,848048096156426	0,529919264233205		451,7
16.kol.99	17,8	100	0,8	337	-0,390731128489275	0,92050485345244		455
17.kol.99	21,1	83	2,8	269	-0,999847695156391	-0,017452406437284		458,3
18.kol.99	18,8	100	1,9	290	-0,939692620785909	0,342020143325668		460,6
19.kol.99	21,8	72	1,1	118	0,882947592858927	-0,469471562785891		463,6
20.kol.99	20	86	1	283	-0,974370064785235	0,224951054343865		465,4
21.kol.99	23,3	78	1,9	259	-0,981627183447664	-0,190808995376545		468,7
22.kol.99	23,4	84	0,9	324	-0,587785252292473	0,809016994374947		468,8
23.kol.99	21,6	88	1,3	193	-0,224951054343865	-0,974370064785235		470,6
24.kol.99	23,7	81	1	213	-0,544639035015027	-0,838670567945424		472,7
25.kol.99	22,7	97	1,1	310	-0,766044443118978	0,642787609686539		473,7
26.kol.99	23,8	76	1,9	198	-0,309016994374948	-0,951056516295153		474,8
27.kol.99	22,2	84	2,7	294	-0,913545457642601	0,406736643075801		476,4
28.kol.99	22,8	81	1,2	281	-0,981627183447664	0,190808995376544		477
29.kol.99	21,5	94	1,1	298	-0,882947592858927	0,46947156278589		478,3
30.kol.99	22,1	94	1,3	298	-0,882947592858927	0,46947156278589		478,9
31.kol.99	26,3	61	1,3	138	0,669130606358858	-0,743144825477394		483,1
1.ruj.99	24,5	70	3,1	63	0,891006524188368	0,453990499739547		484,9
2.ruj.99	23,9	90	1,5	200	-0,342020143325669	-0,939692620785908		485,5
3.ruj.99		87	1,4	298	-0,882947592858927	0,46947156278589		509,4
4.ruj.99	21	95	1,7	283	-0,974370064785235	0,224951054343865		530,4
5.ruj.99	22,5	88	2,5	228	-0,743144825477394	-0,669130606358858		531,9
6.ruj.99	22,9	84	1,7	137	0,681998360062498	-0,73135370161917		532,3
7.ruj.99	21,7	85	1,6	293	-0,920504853452441	0,390731128489273		533,5
8.ruj.99	22,4	86	1,3	296	-0,898794046299167	0,438371146789077		534,2
9.ruj.99	27,4	68	1	166	0,241921895599668	-0,970295726275996		539,2
10.ruj.99	24,6	77	2,2	284	-0,970295726275996	0,241921895599667		542
11.ruj.99	23,1	86	1,1	266	-0,997564050259824	-0,069756473744126		543,5
12.ruj.99	21,6	70		172	0,139173100960066	-0,99026806874157		545
13.ruj.99					0	1		566,6
14.ruj.99					0	1		566,6
15.ruj.99					0	1		566,6
16.ruj.99					0	1		566,6
17.ruj.99					0	1		566,6
18.ruj.99					0	1		566,6
19.ruj.99					0	1		566,6
20.ruj.99					0	1		566,6
21.ruj.99	20,3	100	2,3	211	-0,515038074910054	-0,857167300702112		586,9
22.ruj.99	20	95	2,5	215	-0,573576436351046	-0,819152044288992		587,2
23.ruj.99	20,6	92	2,2	163	0,292371704722737	-0,956304755963035		587,8
24.ruj.99	20,2	98	0,7	149	0,515038074910054	-0,857167300702112		588,2
25.ruj.99	19,3	97	0,6	288	-0,951056516295154	0,309016994374947		589,1
26.ruj.99	19,7	86	1,4	143	0,601815023152048	-0,798635510047293		589,5
27.ruj.99	18,9	94	1,3	287	-0,956304755963035	0,292371704722737		590,3
28.ruj.99	19,7	85	0,7	146	0,559192903470747	-0,829037572555042		591,1
29.ruj.99	19,8	90	2,9	208	-0,469471562785891	-0,882947592858927		591,2
30.ruj.99	19,5	72	1,1	217	-0,601815023152048	-0,798635510047293		591,5
1.lis.99	18,5	83	2,2	306	-0,809016994374947	0,587785252292473		592,5
2.lis.99	18,4	87	1,8	270	-1	-1,83697019872103E-16		592,6
3.lis.99	18,1	63	1,3	52	0,788010753606722	0,615661475325658		592,9
4.lis.99	18,9	60	0,9	59	0,857167300702112	0,515038074910054		593,7
5.lis.99	21,2	57	2,5	64	0,898794046299167	0,438371146789077		596
6.lis.99	18,2	80	1,3	184	-0,069756473744125	-0,997564050259824		599
7.lis.99	23	57	1,3	43	0,681998360062498	0,731353701619171		603,8
8.lis.99	22,9	64	1,7	65	0,90630778703665	0,422618261740699		603,9
9.lis.99					0	1		626,8
10.lis.99					0	1		626,8
11.lis.99					0	1		626,8
12.lis.99	18,5	100	1,4	280	-0,984807753012208	0,17364817766693		645,3
13.lis.99	18,5	94	1,1	168	0,207911690817759	-0,978147600733806		645,3
14.lis.99	18,3	96	2	225	-0,707106781186547	-0,707106781186548		645,5
15.lis.99	18,4	89	1,2	146	0,559192903470747	-0,829037572555042		645,6
16.lis.99	16,4	89	1,4	176	0,069756473744126	-0,997564050259824		647,6
17.lis.99	14,1	95	0,9	132	0,743144825477394	-0,669130606358858		649,9
18.lis.99	16,2	89	0,9	196	-0,275637355816999	-0,961261695938319		652
19.lis.99	16,2	82	0,9	192	-0,207911690817759	-0,978147600733806		652
20.lis.99	15,3	100	4,7	291	-0,933580426497202	0,3583679495453		652,9
21.lis.99	17,5	100	5,4	166	0,241921895599668	-0,970295726275996		655,1
22.lis.99	17,7	97	0,9	103	0,974370064785235	-0,224951054343865		655,3
23.lis.99	15,7	100	1,1	146	0,559192903470747	-0,829037572555042		657,3
24.lis.99	16,1	91	4,5	292	-0,927183854566787	0,374606593415912		657,7
25.lis.99					0	1		673,8
26.lis.99					0	1		673,8
27.lis.99	19,6	85	2,6	291	-0,933580426497202	0,3583679495453		693,4
28.lis.99	18,5	97	1,1	71	0,945518575599317	0,325568154457157		694,5
29.lis.99					0	1		713
30.lis.99					0	1		713
31.lis.99	17,3	100	1,9	160	0,342020143325669	-0,939692620785908		730,3
1.stu.99	19,1	100	1,5	165	0,258819045102521	-0,965925826289068		732,1
2.stu.99	14,8	81	1	266	-0,997564050259824	-0,069756473744126		736,4
3.stu.99	12	71	1,1	51	0,777145961456971	0,629320391049837		739,2
4.stu.99	18,4	69	3,137	0	0	1		745,6
5.stu.99	19,3	81	4,8	199	-0,325568154457157	-0,945518575599317		746,5
6.stu.99	18,7	89	1	257	-0,974370064785235	-0,224951054343865		747,1
7.stu.99	17,5	91	1	264	-0,994521895368273	-0,104528463267653		748,3
8.stu.99	19,5	64	0,7	145	0,573576436351046	-0,819152044288992		750,3
9.stu.99		61	2,6	61	0,874619707139396	0,484809620246337		769,8
10.stu.99	16,7	59	2,7	69	0,933580426497202	0,3583679495453		786,5
11.stu.99	15	56	1,1	70	0,939692620785908	0,342020143325669		788,2
12.stu.99	13,5	69	1,2	74	0,961261695938319	0,275637355816999		789,7
13.stu.99	12,5	79	1,9	265	-0,996194698091746	-0,087155742747658		790,7
14.stu.99	13,4	90	1,4	298	-0,882947592858927	0,46947156278589		791,6
15.stu.99	16,2	73	1,4	26	0,438371146789077	0,898794046299167		794,4
16.stu.99	14,8	69	1,3	101	0,981627183447664	-0,190808995376545		795,8
17.stu.99	14,3	66	1,5	43	0,681998360062498	0,731353701619171		796,3
18.stu.99	14,2	81	0,9	79	0,981627183447664	0,190808995376545		796,4
19.stu.99	12,5	100	1,3	145	0,573576436351046	-0,819152044288992		798,1
20.stu.99	11,1	61	1,2	258	-0,978147600733806	-0,20791169081776		799,5
21.stu.99	10,8	73	0,8	180	1,22464679914735E-16	-1		799,8
22.stu.99	9,7	75	1,5	155	0,422618261740699	-0,90630778703665		800,9
23.stu.99	12,3	70	1	112	0,927183854566787	-0,374606593415912		803,5
24.stu.99	13,5	71	0,8	69	0,933580426497202	0,3583679495453		804,7
25.stu.99	14,1	67	1,9	69	0,933580426497202	0,3583679495453		805,3
26.stu.99	8,7	83	1,2	134	0,719339800338651	-0,694658370458997		810,7
27.stu.99	12,3	77	2,1	114	0,913545457642601	-0,4067366430758		814,3
28.stu.99	11,2	79	0,9	142	0,615661475325658	-0,788010753606722		815,4
29.stu.99	11,1	100	0,7	305	-0,819152044288992	0,573576436351046		815,5
30.stu.99	17,9	68	1	62	0,882947592858927	0,469471562785891		822,3
1.pro.99	15,2	65	1,5	69	0,933580426497202	0,3583679495453		825
2.pro.99	16,4	67	1,3	129	0,777145961456971	-0,629320391049837		826,2
3.pro.99	14,2	75	1,6	73	0,956304755963035	0,292371704722737		828,4
4.pro.99	13,7	92	1,5	85	0,996194698091746	0,087155742747658		828,9
5.pro.99					0	1		842,6
6.pro.99					0	1		842,6
7.pro.99					0	1		842,6
8.pro.99					0	1		842,6
9.pro.99					0	1		842,6
10.pro.99					0	1		842,6
11.pro.99					0	1		842,6
12.pro.99	13,4	86	2,2	210	-0,5	-0,866025403784439		856
13.pro.99	8	86	0,7	175	0,087155742747659	-0,996194698091746		861,4
14.pro.99	14,5	86	1	360	-2,44929359829471E-16	1		867,9
15.pro.99	9,4	82	1,1	309	-0,777145961456971	0,629320391049837		873
16.pro.99	8,5	75	2	97	0,992546151641322	-0,121869343405147		873,9
17.pro.99	7,2	88	0,3	275	-0,996194698091746	0,087155742747658		875,2
18.pro.99	6,3	96	1,2	123	0,838670567945424	-0,544639035015027		876,1
19.pro.99	12,5	98	0,4		0	1		882,3
20.pro.99				84	0,994521895368273	0,104528463267653		894,8
21.pro.99	11,8	94	0,8	78	0,978147600733806	0,207911690817759		906,6
22.pro.99	14	89	1,3	124	0,829037572555042	-0,559192903470747		908,8
23.pro.99	11,1	100	1,3	143	0,601815023152048	-0,798635510047293		911,7
24.pro.99	13,1	99	1,9	164	0,275637355817	-0,961261695938319		913,7
25.pro.99	13,9	100	2,2	158	0,374606593415912	-0,927183854566787		914,5
26.pro.99	15	100	1,3	224	-0,694658370458997	-0,719339800338651		915,6
27.pro.99	14,7	100	2,1	213	-0,544639035015027	-0,838670567945424		915,9
28.pro.99	11,5	100	0,5	172	0,139173100960066	-0,99026806874157		919,1
29.pro.99	10,7	99	2,4	88	0,999390827019096	0,034899496702501		919,9
30.pro.99	11,2	58	1,3	66	0,913545457642601	0,4067366430758		920,4
31.pro.99	7,9	86	1,2	112	0,927183854566787	-0,374606593415912		923,7
1.sij.00					0	1		931,6
2.sij.00					0	1		931,6
3.sij.00					0	1		931,6
4.sij.00					0	1		931,6
5.sij.00	7,8	88	2,6	121	0,857167300702112	-0,515038074910054		939,4
6.sij.00	12,9	79	2,1	92	0,999390827019096	-0,034899496702501		944,5
7.sij.00	11,9	82		58	0,848048096156426	0,529919264233205		945,5
8.sij.00	8,2	96	1,8	105	0,965925826289068	-0,258819045102521		949,2
9.sij.00	11,6	77	2,8	49	0,754709580222772	0,656059028990507		952,6
10.sij.00	10,5	63	0,5	47	0,73135370161917	0,681998360062498		953,7
11.sij.00	6,5	66	2,2		0	1		957,7
12.sij.00	10	74	1,3	105	0,965925826289068	-0,258819045102521		961,2
13.sij.00	8,9	100	2,6	144	0,587785252292473	-0,809016994374947		962,3
14.sij.00	8,3	82	1,2	74	0,961261695938319	0,275637355816999		962,9
15.sij.00	10,2	75	2,6	74	0,961261695938319	0,275637355816999		964,8
